epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,880.836,0.31567,0.47345,0.34093,0.82405,0,0.96671,0.94872,0.97749,0.82555,0.92752,0.91026,0.94597,0.8807,0.43023,0.79342,0.40397,0.81892,0,0.00026739,0.00026739,0.00026739
79,891.993,0.30581,0.41603,0.32074,0.82444,0,0.97974,0.94872,0.98733,0.81761,0.93977,0.91026,0.93352,0.86768,0.42572,0.91467,0.39434,0.82309,0,0.000247192,0.000247192,0.000247192
80,903.354,0.305,0.42132,0.33338,0.82462,0,0.97381,0.95356,0.97264,0.82983,0.94731,0.92201,0.93554,0.85875,0.4166,1.1136,0.39844,0.81577,0,0.000227747,0.000227747,0.000227747
81,914.876,0.29887,0.43996,0.31943,0.82237,0,0.98624,0.91877,0.96848,0.85334,0.95872,0.89326,0.92912,0.85403,0.3789,1.04447,0.40217,0.80639,0,0.000209073,0.000209073,0.000209073
82,926.652,0.29089,0.41372,0.31316,0.81198,0,0.93585,0.93521,0.9572,0.85473,0.9102,0.90967,0.91737,0.84916,0.35942,0.9367,0.40146,0.80728,0,0.00019119,0.00019119,0.00019119
83,938.255,0.29129,0.44377,0.32068,0.82383,0,0.96052,0.93569,0.96535,0.82506,0.9456,0.89145,0.94051,0.8645,0.39888,0.8473,0.4451,0.80706,0,0.000174115,0.000174115,0.000174115
84,950.052,0.29347,0.39085,0.31682,0.82235,0,0.96413,0.91026,0.96275,0.83798,0.9362,0.88462,0.94499,0.85359,0.36111,0.8196,0.45438,0.80885,0,0.000157865,0.000157865,0.000157865
85,961.754,0.28599,0.43765,0.31357,0.81557,0,0.97325,0.9329,0.97654,0.84745,0.94663,0.90954,0.95228,0.86377,0.3687,0.8037,0.42313,0.8117,0,0.000142456,0.000142456,0.000142456
86,1002.84,0.25987,0.415,0.29018,0.80143,0,0.97271,0.92308,0.97171,0.85163,0.93206,0.88462,0.93315,0.85021,0.36067,0.93541,0.46656,0.8031,0,0.000127904,0.000127904,0.000127904
87,1014.11,0.25734,0.3965,0.28349,0.80498,0,0.97287,0.91939,0.96941,0.85929,0.94574,0.89387,0.92694,0.84773,0.36278,1.01682,0.45072,0.80025,0,0.000114221,0.000114221,0.000114221
88,1025.12,0.26188,0.40551,0.28423,0.80209,0,0.97119,0.9359,0.97423,0.86996,0.94447,0.91026,0.93317,0.85312,0.33709,0.94017,0.37728,0.79625,0,0.000101423,0.000101423,0.000101423
89,1036.53,0.24995,0.36777,0.27766,0.7891,0,0.97294,0.92202,0.95791,0.8507,0.9459,0.89663,0.93266,0.85109,0.3525,0.93377,0.39076,0.79483,0,8.95213e-05,8.95213e-05,8.95213e-05
90,1047.65,0.24673,0.39004,0.27621,0.80063,0,0.97295,0.92223,0.96031,0.846,0.94592,0.89702,0.93281,0.85275,0.37448,0.97626,0.40834,0.79792,0,7.8528e-05,7.8528e-05,7.8528e-05
91,1058.6,0.25477,0.3682,0.27565,0.79796,0,0.97081,0.92308,0.96447,0.86639,0.94378,0.89744,0.94022,0.8495,0.33905,1.02959,0.40216,0.79354,0,6.8454e-05,6.8454e-05,6.8454e-05
92,1070.04,0.2548,0.37299,0.27442,0.79883,0,0.96974,0.9359,0.95923,0.85262,0.9431,0.91026,0.94095,0.85287,0.34711,0.96747,0.39452,0.79385,0,5.93093e-05,5.93093e-05,5.93093e-05
93,1083.62,0.24519,0.39329,0.27948,0.79361,0,0.97129,0.9359,0.96145,0.86077,0.94462,0.91026,0.9389,0.85563,0.33398,0.93731,0.38212,0.79234,0,5.11027e-05,5.11027e-05,5.11027e-05
94,1095.34,0.24605,0.38833,0.27285,0.79678,0,0.97079,0.9359,0.95788,0.85715,0.94413,0.91026,0.94282,0.85687,0.33112,0.92789,0.3702,0.79068,0,4.38424e-05,4.38424e-05,4.38424e-05
95,1107.13,0.23764,0.38284,0.27031,0.80105,0,0.96994,0.9359,0.95869,0.86714,0.94337,0.91026,0.94235,0.86064,0.32023,0.93488,0.36288,0.78894,0,3.75356e-05,3.75356e-05,3.75356e-05
96,1117.94,0.24242,0.40165,0.26503,0.80286,0,0.95715,0.9359,0.94816,0.84843,0.93093,0.91026,0.93224,0.8514,0.32043,0.95994,0.37516,0.78786,0,3.21885e-05,3.21885e-05,3.21885e-05
97,1129.54,0.24473,0.36267,0.26693,0.79615,0,0.97078,0.94872,0.96711,0.85835,0.93136,0.91026,0.93034,0.84741,0.32347,0.97496,0.38303,0.78592,0,2.78064e-05,2.78064e-05,2.78064e-05
98,1140.68,0.24169,0.37695,0.27136,0.79918,0,0.97096,0.9359,0.95675,0.85369,0.94436,0.91026,0.93889,0.85403,0.33051,0.97674,0.37934,0.78708,0,2.43937e-05,2.43937e-05,2.43937e-05
99,1151.94,0.24227,0.37606,0.26967,0.79928,0,0.97076,0.9359,0.95832,0.85445,0.9441,0.91026,0.93912,0.85733,0.33603,0.96939,0.38112,0.78931,0,2.19535e-05,2.19535e-05,2.19535e-05
100,1163.25,0.23309,0.34511,0.26582,0.79128,0,0.97119,0.9359,0.95724,0.85418,0.94451,0.91026,0.94608,0.85637,0.33947,0.96054,0.38111,0.78883,0,2.04885e-05,2.04885e-05,2.04885e-05
